Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
166,15,146,only R,"Both reflexive and reciprocal meaning is marked by the marker –nku- used in lace of AGRo; cf. (615h) ‘The Kids are telling each other lies’.
p. 107; if on the other hand, R and T are coreferential/or cross-referential, simply by a respective pronoun (448) ‘give-we 3pl.ACC ‘we’ll give them to one another’.",4148,354,222
169,15,,,"By reciprocal prefix lo-. No ditransitive examples given, but apparently not restricted to Ps, since an also from intransitives (lo-kel-ka ‘call each other’).",,356,189
178,15,,,"There is a “reciprocal” quantifier-variable binding construction (‘I showed each man the other’s child’).
in DOC R binds T irrespective of word order (cf. (45))",4388,189,87
179,15,,,Either T or R can bind the other object in the “reciprocal” quantifier-variable construction (see  (82)).,4161,189,103
,,,,,4389,,
180,15,,,T binds R in in the “reciprocal” quantifier-variable construction; cf. (62).,4162,189,94
,,,,,4390,,
184,15,146,only R,See reflexives.,,165,
186,15,,,"p. 57. A verbal reciprocal marker –təl, replacing the object marker; in the reciprocal construction cross-coreferentiality between subjects and objects. No ditransitive examples given.",,366,p. 57.
189,15,,,"Pronominal reciprocals pOrOspOrO ‘each other’. Normally has a subject antecedent, but may also take an object (dative) antecedent; cf. (123) ‘They introduced Rina and Mina to each other’ where (dative) R binds the reciprocal T.",4399,368,110
191,15,146,only R,Reciprocals are periphrastic with the REC marker based on the verb ‘return’; the verb is uninflected. Ditransitive GIVE construction apparently involves A-R cross-coreferentiality; cf. (27).,,369,226
192,15,146,only R,Reciprocals are periphrastic with the REC marker based on the verb ‘return’; the verb is uninflected. Ditransitive GIVE construction apparently involves A-R cross-coreferentiality; not clear if T can be animate (see examples under Ditransitive Inanimate Construction).,,369,226
195,15,147,either T or R (but not both),"Both pronominal and verbal; S and R can be cross-coreferential with ditransitives (optionally accompanied by the dative pronominal reciprocal). But also T/P cross-referencing is possible with the appropriate accusative pronominal reciprocal.

NB verbal reciprocal can be used with Beneficiaries, or Goals but in that case the verbal reciprocal acquires the assistive meaning:
bir biri-ne üy sal-Is-tI
each other-DAT house built
‘??They built houses for each other’-->  helped each other building",4177,385,
,,,,,4405,,
196,15,,,"Both morphological and pronominal reciprocals can indicate cross-coreference of the subject with R; see Iwasaki,169; (133).
The dative R can bind the accusative pronominal reciprocal otagai ‘each other’ but not the other way round (M&T).
(61) a. goal-theme
John-ga [Hanako-to Mary]-ni otagai-o
John-Nom [Hanako-and Mary]-NIi each otheri-Acc
syookaisita.
introduced
‘John introduced Hanako and Mary to each other.’
b. theme-goal
(?) John-ga [Hanako-to Mary]-o (paatii-de)
John-Nom [Hanako-and Mary]-Acci (Party-at)
otagai-ni syookaisita.
each otheri-NI introduced
‘John introduced Hanako and Mary to each other (at the party).’",4178,,
197,15,,,Reciprocals with the verbal reciprocal marker –an-. Apparently also can markcross-coreferentiality between the subject and  Indirect objects like the causee of a derived ditransitive (p. 174; (116f)). .,4179,389,p. 174
202,15,146,only R,"Reciprocals are formed through a pronominal reciprocal pronouns ikk duuje ‘one another’. It can mark cross-coreferentiality with both P (434a) and R , the latter when combined with the dative postposition.",,391,138-9
204,15,146,only R,"Cross-corerentiality of A and R. is marked by the reciprocal suffix -namə- on the verb. The reciprocal suffix can mark cross-coreferentiality of the A with P, or R (and also with a possessor of an argument; “possessive reciprocals”).
see Camargo (2007:1883-4); ex. (42b) below. In the same way also  from beneficiaries:
(Camargo 2007: 1884). ex. 44c. 
Dini	inun	paku-n	ha-wən	bakə	ʂaʂu	wa-namə-ʂun-ʂina
D.	and	P.-A 	3sg-pos	son	boat	make-REC-BEN-PAST
‘Rene and Paco have made boats for each other’",4186,397,
207,15,146,only R,Reflexive-reciprocal prefix ni- on the verb to indicate coreferentiality of subject and object. In the basic ditransitive  pattern the agent binds with the recipient in the reflexive and reciprocal; cf. cf. the reciprocal; 678;(20c),4189,398,
209,15,,,Reflexive-reciprocal prefix ni- on the verb to indicate coreferentiality of subject and object. In the  the applied construction;  A binds the applied object in the the reciprocal construction (38a); 691.,4191,,
210,15,146,only R,"Reciprocals are formed through a pronominal reciprocal pronouns ikk duuje ‘one another’. It can mark cross-coreferentiality with both P (434a), and R , the latter when combined with the dative postposition.",4192,391,138-9
211,15,,,Reciprocal meaning is expressed by the plural form of the same reflexive pronominal araa ‘(my) body’. etc.,,,
212,15,,,Reciprocal meaning is expressed by the plural form of the same reflexive pronominal araa ‘(my) body’. etc.,4194,,
213,15,,,Reciprocal meaning is expressed by the plural form of the same reflexive pronominal araa ‘(my) body’. etc.,,,
214,15,,,Reciprocal meaning is expressed by the plural form of the same reflexive pronominal araa ‘(my) body’. etc.,,,
215,15,,,Reciprocals can be expressed by the middle voice inflection. No ditransitive examples given.,,403,133
216,15,,,Reciprocals can be expressed by the middle voice inflection. No ditransitive examples given.,,403,133
217,15,,,"Reciprocals are build by partial reduplication of the lexical verb which takes a subordinate different-subject form in combination with the stranded subject inflection. 
Reciprocals from ditransitives in the same way;  cf. (643); 133 ‘. for an example of  an applicative ditransitive..",,85,p. 131.
218,15,,,"Reciprocals are build by partial reduplication of the lexical verb which takes a subordinate different-subject form in combination with the stranded subject inflection. 
Reciprocals from ditransitives in the same way;  cf. (643); 133 ‘. for an example of  an applicative ditransitive..",,85,p. 131.
219,15,,,"Reciprocals are build by partial reduplication of the lexical verb which takes a subordinate different-subject form in combination with the stranded subject inflection. 
Reciprocals from ditransitives in the same way; cf. (643); 133 ‘. for an example of  an applicative ditransitive..",4201,85,p. 131.
225,15,145,either T or R,"By the verbal reciprocal suffixes –ay-, -ayba-. The first suffix is more often  used with object of intransitives (replacing the oblique agreement). The suffix -, -ayba-.can be used to indicate cross-coreference between A and P; interestingly, it replaces then the following A-agreement rather than the preceding P-agreement. It can also mark cross-coreference of the A either with direct or indirect object. In that case it can either replace R-agreement or A-agreement; cf. ex. (b) p. 86 ‘We gave the wine to each other’; ex. (di) p. 86. ‘We gave the wine to each other’..
p. 89. Also there may be an ambiguity as to whether –ayba- in the indirect agreement slot is controlled by a plural A or T/P: ex (iii) ‘They give us to each other (R=A)’ or ‘They give us to each other (R=T)’",4207,406,86
226,15,,,"p. 62. Reciprocals (also reflexives and ‘pseudopassives’) by “detransitivizing prefixes” e-, os-, ot-, etc. Apparently, only direct object (T/P) can be targeted (cross-referential with A).
p. 66-7. Indirect reciprocals are formed a) through the same possessive postpositional strategy as indirective reflexivea, but both ti=wya (possessive-reflexive form attached to the postposition) and the discourse particle rma ‘same’ take additionally the plural-collective marker –nye; b) or through the use of adverbs/particles like rha ‘in turn(s)’ or rye ‘mutually’ (p. 66; ex. (153) ‘Let’s give to each other’).",4208,407,62
228,15,,,p. 366. Reciprocals are formed by the verbal suffix –ria in combination with reduplication of the verbs root. No ditransitive examples are given.,,409,366
3,16,148,NEITHER,,,,
11,16,149,only REC,"For ‘give-me’, ‘give-you’ another verb le ‘give’ + directional suffixes.",,334,
16,16,148,NEITHER,,,,
19,16,149,only REC,"p. 348. koTukkuka ‘give to 3rd’, taruka ‘give to 1st/2nd’
see examples of ditransitive construction",,,
25,16,148,NEITHER,"There are 2 GIVE verbs: gei and song, but not in a suppletive relation: rather song more like a motion verb
(song is ‘give as a present’; Binfu Lu, p.c.)",,,
33,16,149,only REC,"GIVE1 (to 3rd person), GIVE2 (to 1st/2nd [person); 353",,,
49,16,148,NEITHER,[No instances are identified.],,,
54,16,,,"Some verbs are suppletive for (a) the animacy of their direct object (P/T) or (b) the number of their subject (S, if intransitive) or direct object (P/T, if transitive). The suppletion is independent of Series. It is determined lexically, and therefore persists under changes in grammatical relations (e.g. passive). No verb has suppletion for the R, whether original or derived.",,,
55,16,148,NEITHER,"Some verbs are suppletive for (a) the animacy of their direct object (P/T) or (b) the number of their subject (S, if intransitive) or direct object (P/T, if transitive). The suppletion is independent of Series. It is determined lexically, and therefore persists under changes in grammatical relations (e.g. passive). No verb has suppletion for the R, whether original or derived.",,,
56,16,148,NEITHER,"Some verbs are suppletive for (a) the animacy of their direct object (P/T) or (b) the number of their subject (S, if intransitive) or direct object (P/T, if transitive). The suppletion is independent of Series. It is determined lexically, and therefore persists under changes in grammatical relations (e.g. passive). No verb has suppletion for the R, whether original or derived.",,,
